"Nailed Fist",拳釘
"Calling Wand",呼喚法杖
"Convening Wand",召集法杖
"Convoking Wand",召喚法杖
"Charan's Sword",查蘭之劍
"Golden Blade",黃金之刃
"Rusted Sword",鏽劍
"Copper Sword",青銅短劍
Sabre,舊軍刀
"Broad Sword",闊劍
"War Sword",征戰之劍
"Ancient Sword",遠古之劍
"Elegant Sword",貴族之劍
"Dusk Blade",暮色之刃
"Hook Sword",鉤爪劍
"Variscite Blade",碧銅短劍
Cutlass,軍用長刃
Baselard,冷光長劍
"Battle Sword",士兵長劍
"Elder Sword",智者長劍
"Graceful Sword",權貴之劍
"Twilight Blade",暮光長劍
Grappler,捕捉者
"Gemstone Sword",寶石之劍
"Corsair Sword",海賊長刀
Gladius,鬥士長劍
"Legion Sword",軍團長劍
"Vaal Blade",瓦爾軍刃
"Eternal Sword",永恆之劍
"Midnight Blade",夜語長劍
"Tiger Hook",虎鉤
"Fickle Spiritblade",非命魂刃
"Capricious Spiritblade",怪談魂刃
"Anarchic Spiritblade",翻天魂刃
"Energy Blade",能量之刃
"Rusted Spike",鏽刺劍
"Whalebone Rapier",鯨骨細刃
"Battered Foil",鈍刃細劍
"Basket Rapier",練武者細劍
"Jagged Foil",鋸狀薄刃
"Antique Rapier",古代細劍
"Elegant Foil",貴族細劍
"Thorn Rapier",棘刺細劍
Smallsword,小劍
"Wyrmbone Rapier",龍骨細劍
"Burnished Foil",冷芒刺劍
Estoc,穿甲刺劍
"Serrated Foil",鋸齒細劍
"Primeval Rapier",古典刺劍
"Fancy Foil",華麗細劍
"Apex Rapier",銳鋒細劍
"Courtesan Sword",花魁之劍
"Dragonbone Rapier",龍骨細劍
"Tempered Foil",強化細劍
Pecoraro,寒光刺劍
"Spiraled Foil",螺紋細劍
"Vaal Rapier",瓦爾細劍
"Jewelled Foil",寶飾細劍
"Harpy Rapier",魔喙細劍
"Dragoon Sword",騎兵軍刀
"Rusted Hatchet",鏽斧
"Jade Hatchet",碎玉斧
"Boarding Axe",萬用手斧
Cleaver,切割者
"Broad Axe",闊斧
"Arming Axe",長柄斧
"Decorative Axe",富貴之斧
"Spectral Axe",幽魂之斧
"Etched Hatchet",蝕刻戰斧
"Jasper Axe",靈玉斧
Tomahawk,征戰之斧
"Wrist Chopper",斷腕之刃
"War Axe",行軍斧
"Chest Splitter",開膛利刃
"Ceremonial Axe",血儀之斧
"Wraith Axe",凶靈之斧
"Engraved Hatchet",雕文戰斧
"Karui Axe",卡魯古斧
"Siege Axe",破城斧
"Reaver Axe",殘暴之斧
"Butcher Axe",屠戮之斧
"Vaal Hatchet",瓦爾戰斧
"Royal Axe",皇家之斧
"Infernal Axe",獄火之刃
"Runic Hatchet",密文之斧
"Maltreatment Axe",肆虐之斧
"Disapprobation Axe",駁斥之斧
"Psychotic Axe",神亂之斧
"Driftwood Club",朽木之棒
"Tribal Club",祭儀之杵
"Spiked Club",鈍釘木棒
"Stone Hammer",石錘
"War Hammer",戰錘
"Bladed Mace",多刃錘
"Ceremonial Mace",祭禮之錘
"Dream Mace",夢境之錘
"Wyrm Mace",古龍之錘
"Petrified Club",堅石木棒
"Barbed Club",銳刺木棒
"Rock Breaker",破岩錘
"Battle Hammer",強化戰錘
"Flanged Mace",護體之錘
"Ornate Mace",華麗之錘
"Phantom Mace",幻象之錘
"Dragon Mace",龍之錘
"Ancestral Club",祖靈之杵
Tenderizer,裂肉之錘
Gavel,堅錘
"Legion Hammer",軍團之錘
Pernach,鋒刃重錘
"Auric Mace",聖約之錘
"Nightmare Mace",夢魘之錘
"Behemoth Mace",巴哈姆特
"Flare Mace",閃耀之錘
"Crack Mace",碎裂之錘
"Boom Mace",爆裂之錘
"Crude Bow",粗製弓
"Short Bow",短弓
"Long Bow",長弓
"Composite Bow",合成弓
"Recurve Bow",反曲弓
"Bone Bow",骨製弓
"Royal Bow",皇家獵弓
"Death Bow",死亡之弓
"Reflex Bow",反射弓
"Grove Bow",叢林獵弓
"Decurve Bow",直弓
"Compound Bow",複合弓
"Sniper Bow",狙殺弓
"Ivory Bow",象牙弓
"Highborn Bow",貴族之弓
"Decimation Bow",獵魂之弓
"Steelwood Bow",鋼木之弓
"Thicket Bow",林野獵弓
"Citadel Bow",城塞戰弓
"Ranger Bow",漫遊之弓
"Assassin Bow",暗殺弓
"Spine Bow",脊弓
"Imperial Bow",帝國之弓
"Harbinger Bow",先驅者之弓
"Maraketh Bow",馬拉克斯弓
"Hedron Bow",海德隆之弓
"Foundry Bow",鑄造之弓
"Solarine Bow",日耀之弓
"Gnarled Branch",朽木之幹
"Primitive Staff",粗製長杖
"Long Staff",長杖
"Royal Staff",皇家長杖
"Crescent Staff",新月長杖
"Woodful Staff",堅木長杖
Quarterstaff,細柄長杖
"Highborn Staff",貴族長杖
"Moon Staff",月神長杖
"Primordial Staff",史典長杖
Lathi,武術長杖
"Imperial Staff",帝國長杖
"Eclipse Staff",月蝕長杖
"Transformer Staff",變形長杖
"Reciprocation Staff",鐘擺長杖
"Battery Staff",蓄能長杖
Keyblade,寶鑰之刃
"Corroded Blade",鏽斑巨劍
Longsword,大劍
"Bastard Sword",重劍
"Two-Handed Sword",雙手劍
"Etched Greatsword",術雕巨劍
"Ornate Sword",名貴巨劍
"Spectral Sword",幽魂巨劍
"Curved Blade",彎刃
"Butcher Sword",殺戮巨劍
"Footman Sword",士兵巨劍
"Highland Blade",高山重刃
"Engraved Greatsword",符文巨劍
"Tiger Sword",虎牙巨劍
"Wraith Sword",凶靈巨劍
"Lithe Blade",細刃
"Headman's Sword",行刑巨劍
"Reaver Sword",殘暴巨劍
"Ezomyte Blade",艾茲麥巨劍
"Vaal Greatsword",瓦爾巨劍
"Lion Sword",獅爪巨劍
"Infernal Sword",獄炎重劍
"Exquisite Blade",精緻之刃
"Rebuking Blade",鞭策之刃
"Blasting Blade",爆破之刃
"Banishing Blade",放逐之刃
"Stone Axe",石斧
"Jade Chopper",碎玉大斧
Woodsplitter,柴斧
Poleaxe,巨戰斧
"Double Axe",雙刃巨斧
"Gilded Axe",金柄之斧
"Shadow Axe",幽影巨斧
"Dagger Axe",匕斧
"Jasper Chopper",靈玉巨斧
"Timber Axe",裂木巨斧
"Headsman Axe",行刑巨斧
Labrys,雙影巨斧
"Noble Axe",權貴巨斧
"Abyssal Axe",深淵巨斧
"Talon Axe",猛禽爪斧
"Karui Chopper",卡魯巨斧
"Sundering Axe",裂甲巨斧
"Ezomyte Axe",艾茲麥巨斧
"Vaal Axe",瓦爾巨斧
"Despot Axe",霸主巨斧
"Void Axe",虛影巨斧
Fleshripper,裂肉者
"Prime Cleaver",原始砍斧
"Honed Cleaver",珩磨砍斧
"Apex Cleaver",巔峰砍斧
"Driftwood Maul",朽木巨錘
"Tribal Maul",祭儀巨錘
Mallet,千斤錘
Sledgehammer,冷鐵重錘
"Jagged Maul",狼牙重錘
"Brass Maul",銅影巨錘
"Fright Maul",恐懼重錘
"Morning Star",晨星
"Totemic Maul",圖騰巨錘
"Great Mallet",剛猛巨錘
Steelhead,沉鋼重錘
"Spiny Maul",凶刺巨錘
"Plated Maul",華麗重錘
"Dread Maul",威權巨錘
"Solar Maul",日光錘
"Karui Maul",卡魯重錘
"Colossus Mallet",巨型重錘
Piledriver,掃蕩者
Meatgrinder,戮魂重錘
"Imperial Maul",帝國重錘
"Terror Maul",懼靈重錘
"Coronal Maul",花冠重錘
"Blunt Force Condenser",鈍擊力凝聚錘
"Crushing Force Magnifier",粉碎力增幅錘
"Impact Force Propagator",衝擊力擴散錘
"Driftwood Sceptre",朽木權杖
"Darkwood Sceptre",烏木權杖
"Bronze Sceptre",銅鍛權杖
"Quartz Sceptre",石英權杖
"Iron Sceptre",冷鐵權杖
"Ochre Sceptre",赤色權杖
"Ritual Sceptre",祭儀權杖
"Shadow Sceptre",影語權杖
"Horned Sceptre",犄角權杖
"Grinning Fetish",遠古之祭
Sekhem,威能權杖
"Crystal Sceptre",水晶權杖
"Lead Sceptre",鉛鑄權杖
"Blood Sceptre",血色權杖
"Royal Sceptre",皇家權杖
"Abyssal Sceptre",深淵權杖
"Stag Sceptre",靈鹿權杖
"Karui Sceptre",卡魯權杖
"Tyrant's Sekhem",暴君之統
"Opal Sceptre",靈石權杖
"Platinum Sceptre",白金權杖
"Vaal Sceptre",瓦爾權杖
"Carnal Sceptre",禁禮權杖
"Void Sceptre",虛影權杖
"Sambar Sceptre",惡魔權杖
"Oscillating Sceptre",猶疑權杖
"Stabilising Sceptre",安定權杖
"Alternating Sceptre",輪迴權杖
"Fishing Rod",魚竿
"Carving Knife",雕刻刀
"Boot Knife",戰亂刀
"Copper Kris",銅器波刃
Skean,雙刃匕
"Imp Dagger",妖邪短匕
"Butcher Knife",屠夫刀
"Boot Blade",戰亂劍
"Golden Kris",金耀波刃
"Royal Skean",皇家雙刃匕
"Fiend Dagger",妖魔短匕
"Slaughter Knife",殘暴短匕
"Ezomyte Dagger",艾茲麥短匕
"Platinum Kris",白金波刃
"Imperial Skean",帝國雙刃匕
"Demon Dagger",惡魔短匕
"Flickerflame Blade",閃火之刃
"Flashfire Blade",瞬炎之刃
"Infernal Blade",煉獄之刃
"Iron Staff",鐵鍛長杖
"Coiled Staff",強化長杖
"Vile Staff",毒牙長杖
"Military Staff",軍用長杖
"Serpentine Staff",蛇紋長杖
"Foul Staff",惡靈長杖
"Ezomyte Staff",艾茲麥長杖
"Maelström Staff",風暴長杖
"Judgement Staff",審判長杖
"Capacity Rod",才能長桿
"Potentiality Rod",潛能長桿
"Eventuality Rod",萬能長桿
"The Screaming Eagle",鷹嘯
"Soul Taker",開膛斧
Dyadus,龍鳳吟
"Chin Sol",亂矢之弦
Darkscorn,夜吟
"Death's Harp",冥使之琴
Infractem,穿雲
"Lioneye's Glare",獅眼的戰弓
"Quill Rain",驟雨之弦
Silverbranch,幻銀之弦
"Storm Cloud",暴雨之弦
"Voltaxic Rift",魔暴之痕
Windripper,裂風
"Al Dhih",鬣犬之牙
Bloodseeker,嗜血之爪
"Cybil's Paw",希比爾的冰爪
"Essentia Sanguis",精華收割器
"Last Resort",終息
"Mortem Morsu",噬魂之牙
"Bino's Kitchen Knife",比諾的廚刀
Divinarius,戒律之影
Heartbreaker,裂心刃
Mightflay,力量獵刃
"Ungil's Gauche",恩吉爾的叉刃
Brightbeak,光耀之錘
"Doon Cuebiyari",黑鋼
Mjölner,沉默之雷
"Mon'tregul's Grasp",凋靈魔爪
"Nycta's Lantern",奈可妲之燈
"The Supreme Truth",無上箴言
"Doryani's Catalyst",多里亞尼的幻化之杖
Aurumvorax,靈護
"Ephemeral Edge",影殞
"The Goddess Bound",女神的靈縛
"The Goddess Scorned",女神的怒炎
"Prismatic Eclipse",虹耀之月
"Rebuke of the Vaal",瓦爾戰刃
Redbeak,赤紅短刃
"Dying Breath",亡者之息
Fencoil,綠藤
"Pillar of the Caged God",囚神杵
"The Searing Touch",熾炎之使
"Taryn's Shiver",塔林的顫慄之語
Lifesprig,生機之記
"Midnight Bargain",冥約
Moonsorrow,泣月
"Void Battery",潛能魔棒
"Song of the Sirens",海妖魅曲
"Atziri's Disfavour",阿茲里的刑刃
"The Blood Reaper",竭血之鐮
"Kaom's Primacy",岡姆的霸業
Limbsplit,斷罪
"Reaper's Pursuit",死神的取魂器
Wideswing,闊斬
"Wings of Entropy",亂世之翼
"Chober Chaber",忠誠之錘
"Geofri's Baptism",吉爾菲的淨罪之錘
"Hrimnor's Hymn",雷姆諾的奪命樂具
"Kongor's Undying Rage",康戈的戰炎
"Marohi Erqi",爾奇的巨靈之錘
Quecholli,重擊之錘
Voidhome,逝空之錘
"Oro's Sacrifice",歐羅的貢品
"Queen's Decree",威嚴之刃
"Rigwald's Charge",瑞佛的奮戰長劍
Shiversting,寒光劍
"Terminus Est",行刑之刃
Doomfletch,滅世
"Hyaon's Fury",海昂的狂怒
"Pledge of Hands",誓約
"Piscator's Vigil",皮斯卡托的慧眼
"Edge of Madness",瘋狂邊界
Dreamfeather,幻夢飛羽
"Apep's Rage",艾普之怒
"Hegemony's Era",霸權時代
"Mark of the Doubting Knight",迷茫幻符
"The Dark Seer",黯黑賢者
"The Harvest",收割者
"Agnerod East",東方雷霆聖杖
"Agnerod North",北方雷霆聖杖
Doomsower,終末之始
"Brutus' Lead Sprinkler",布魯特斯的刑具
"Reverberation Rod",混響
"The Blood Thorn",血棘
"Blood of Summer",炎夏之血
"Rust of Winter",霜刃
"Ashes of the Sun",燼杵
"Splinter of the Moon",碎月
"Thunder of the Dawn",曙雷
"Vestige of Divinity",莊重之杖
"Fragment of Eternity",亙古之靈
"Relic of the Cycle",輪迴之記
"Scar of Fate",命運傷痕
"The Whispering Ice",冰點低語
"The Consuming Dark",蠶食之闇
"Sire of Shards",破碎傳承者
"Null's Inclination",虛無之傾
Twyzel,峽灣之星
"Tremor Rod",顫抖之杖
"Relentless Fury",無盡憤怒
Ichimonji,一文字
"Fairgraves' Bearing",費爾之儀
"Fidelitas' Spike",費德利塔斯之鋒
"Callinellus Malleus",堅定之刃
Gorebreaker,血裂
"Lavianga's Wisdom",拉維安加的智慧
"Lakishu's Blade",拉奇許之刃
Flesh-Eater,血肉之嗜
"The Stormheart",風暴之眼
"The Princess",女爵
"Moonbender's Wing",月嵐
Dreadarc,恐懼之鐮
Wildslash,野性狂爪
Realmshaper,創域
"Abberath's Horn",艾貝拉斯之角
Bloodplay,血謔
Goredrill,血鑿
Kingmaker,王者之刃
"Death's Hand",死神之手
"The Goddess Unleashed",女神的束縛
"Jack, the Axe",劊子手．傑克
Stormblast,雷暴
"Bartek's Finger",巴特克的魔指
"Boreal Shepherd",牧者之音
"Celestial Fragment",殘星
"Leviathan Ivory",神力之牙
"Ornament of the East",東之飾
"Jorrhast's Blacksteel",喬赫黑鋼
"Cameria's Maul",卡美利亞之錘
"Agnerod South",南方雷霆聖杖
"Spine of the First Claimant",先驅之脊
"Izaro's Dilemma",伊澤洛之謎
"Chitus' Needle",切特斯之針
Allure,魅惑
"Hezmana's Bloodlust",嗜血黑茲瑪娜
"Roth's Reach",蘿絲之觸
"Femurs of the Saints",聖徒脛骨
Obliteration,抹滅
"Iron Commander",鋼鐵指揮
"Storm Prison",禁錮暴風
"Eclipse Solaris",宇蝕
Disjunction,分裂析取
Singularity,奇異
Bitterdream,苦夢
"Rigwald's Savagery",野性瑞佛
"Rigwald's Command",瑞佛統帥
"Agnerod West",西方雷霆聖杖
"Advancing Fortress",超越壁壘
"Daresso's Passion",德瑞索的熱情
Varunastra,黑鯊
Clayshaper,塑泥者
Rive,裂隙
"Nuro's Harp",努羅的豎琴
Reefbane,災禍之礁
"Axiom Perpetuum",歷史公理
Widowmaker,寡婦
Trypanon,裂顱
Frostbreath,霜息
"The Tempestuous Steel",暴風之鋼
"Xirgil's Crank",舍吉的手柄
"The Dancing Dervish",狂舞德爾維希
"Touch of Anguish",極度苦痛
Ashcaller,灰燼行者
"Death's Opus",死亡之作
Hiltless,長卷
"Doomfletch's Prism",滅世之獄
Silverbough,銀枝
"Hrimnor's Dirge",雷姆諾的輓歌
"The Tempest",暴風雨
"Amplification Rod",增幅杖
"Realm Ender",魂界終結
"Queen's Escape",逃亡女王
"The Gryphon",獅鷲
"The Cauteriser",燒灼器
Scaeva,食蚜
"Innsbury Edge",茵斯布雷之刃
"Breath of the Council",議會之息
"Reach of the Council",議會之觸
"Ewar's Mirage",伊沃幻像
"Kondo's Pride",剛多的虛榮
Slivertongue,裂舌
"Brain Rattler",腦亂者
"Razor of the Seventh Sun",七日鋒
"Cospri's Malice",卡斯普里的怨恨
"The Scourge",災害
Starforge,核星
Tulfall,托沃臥
"Xoph's Nurture",索伏的愛撫
"Ngamahu's Flame",里特拿馬乎
Tulborn,托沃崩
"Shade of Solaris",日耀之影
"Xoph's Inception",索伏的始源
"Hand of Thought and Motion",思動之手
"Hand of Wisdom and Action",智行之手
"Uul-Netol's Kiss",烏爾尼多之吻
"Uul-Netol's Embrace",烏爾尼多的擁抱
"Severed in Sleep",離異夢寐
"United in Dream",合流夢寐
"Arakaali's Fang",艾爾卡莉之牙
Duskdawn,宵曉
"Kitava's Feast",奇塔弗之盛宴
Felltooth,崩齒
Tidebreaker,破浪者
"Martyr of Innocence",烈士之淨
"Ahn's Might",漢恩的期許
Mordhau,魔器
"Pagan Geis",異宗之鏡
"The Enmity Divine",惡言聖語
"The Rippling Thoughts",漣漪冥想
"The Wasp Nest",蜂巢浪湧
"Debeon's Dirge",狄恩的輓歌
Taproot,砥礪深根
"Borrowed Power",力量借貸
Bloodletter,血書
"Galla's Riposte",加拉的突刺刃
"Cane of Unravelling",初惡枝枒
"The Poet's Pen",學富之筆
Arborix,阿布里斯
"White Wind",白風
Vulconus,祝融鍛冶
"Beltimber Blade",刀鋒禁材
"Grelwood Shank",沃德步伐
Augyre,相星占卜
Shimmeron,低伏微光
Hopeshredder,破滅之希
Nebuloch,銀河眾星
Balefire,野火
Oni-Goroshi,西拉氣流殺
Panquetzaliztli,噸擊之錘
Disintegrator,滅碎獠杖
"Cameria's Avarice",卡美利亞的貪婪
"The Stormwall",風暴堅牆
"The Dancing Duo",雙人舞
Voidforge,核虛
Mirebough,尼根
Dreadbeak,恐懼之喙
Dreadsurge,畏懼波動
"Geofri's Devotion",吉爾菲的奉獻
"Sanguine Gambol",血腥之躍
"Corona Solaris",日耀之冕
"Story of the Vaal",瓦爾之序
"Fate of the Vaal",瓦爾之命
"Earendel's Embrace",伊爾多恩的擁抱
"Sinvicta's Mettle",辛維塔之毅
"The Grey Spire",斑駁蒼杖
"Cerberus Limb",獄犬殘肢
Soulwrest,鑄影
"Chaber Cairn",忠誠之記
"The Crimson Storm",緋紅風暴
Paradoxica,矛盾對決
Nebulis,銀河星雲
"Sign of the Sin Eater",罪孽嗜者之示
"Cold Iron Point",寒鋼之刃
"The Black Cane",黑藤
"The Saviour",救世主
Stillwater,止水
"The Surging Thoughts",湧浪之思想
"The Yielding Mortality",屈服之死相
"Witchhunter's Judgment",獵巫者的審判
"Law of the Wilds",野性法則
"Replica Iron Commander",贗品．鋼鐵指揮
Actum,談判
"Replica Bitterdream",贗品．苦夢
"The Iron Mass",鐵塊
"Replica Soul Taker",贗品．開膛斧
"Replica Harvest",贗品．收割者
"Replica Quill Rain",贗品．驟雨之弦
"Replica Windripper",贗品．裂風
"Replica Bloodplay",贗品．血謔
"Replica Ungil's Gauche",贗品．恩吉爾的叉刃
"Replica Cold Iron Point",贗品．寒鋼之刃
"Replica Paradoxica",贗品．矛盾對決
"Replica Tempestuous Steel",贗品．暴風之鋼
"Replica Innsbury Edge",贗品．茵斯布雷之刃
"Replica Last Resort",贗品．終息
"Replica Heartbreaker",贗品．裂心刃
"Replica Dreamfeather",贗品．幻夢飛羽
"Replica Earendel's Embrace",贗品．伊爾多恩的擁抱
"Replica Oro's Sacrifice",贗品．歐羅的貢品
"Replica Tulfall",贗品．托沃臥
"Replica Blood Thorn",贗品．血棘
"Replica Advancing Fortress",贗品．超越壁壘
"Replica Allure",贗品．魅惑
"Replica Frostbreath",贗品．霜息
"Replica Trypanon",贗品．裂顱
"Replica Duskdawn",贗品．宵曉
"Replica Fencoil",贗品．綠藤
"Replica Twyzel",贗品．峽灣之星
"Replica Midnight Bargain",贗品．冥約
"Replica Kongor's Undying Rage",贗品．康戈的戰炎
"Replica Nebulis",贗品．銀河星雲
"Replica Wings of Entropy",贗品．亂世之翼
"Replica Infractem",贗品．穿雲
"The Hidden Blade",隱藏之劍
"The Fulcrum",支點
"Demigod's Authority",半神權威
Goblinedge,妖精之緣
"Cane of Kulemak",骷髏馬克的靈杖
"Atziri's Rule",阿茲里的統御
"Yaomac's Accord",堯馬克之權
"Relic of the Pact",古典冥約
"The Annihilating Light",毀滅白光
"The Gluttonous Tide",饕餮浪潮
"Rory's Revengance",羅里的復仇之途
"Mark2's Mastery",馬克的精銳戰意
"Robbie's Rotten Mace",羅比的腐敗釘錘
"Carl's Crusher",卡爾的破壞者
"Maligaro's Etcher",馬雷葛蘿的刻具
"The Winds of Fate",命定之風
Echoforge,核聲
"Coiled Wand",纏繞法杖
Widowhail,鰥寡之托
"The Geomantic Gyre",風水輪迴
"The Redblade",紅刃
"Maata's Teaching",瑪塔的教導
"Rakiata's Dance",萊基亞塔的舞步
"Ethereal Bow",以太之弓
"The Burden of Shadows",沉重陰影
Nametaker,奪名
"Grace of the Goddess",女神恩典
"Serle's Masterwork",瑟雷的傑作
"The Living Blade",生者之刃
"Tawhoa's Felling",塔赫亞的殞落
